Corridor_ID,Region,Length_km,Width_km,Connectivity_Score,Forest_Cover_%,Species_Richness,Endangered_Species,Human_Pressure_Index,Protection_Level,Illegal_Activity_Reports,Community_Involvement,Restoration_Projects,Year_Established,Monitoring_Frequency
1,Atlantic,31.027236696938072,1.8306015053483173,0.397095745633643,49.08482558067707,469,0,0.6201410856733995,Low,0,Medium,Yes,2013,Monthly
2,Cerrado,133.56355042109607,1.636933447093631,0.008592554090386062,58.31398987479197,70,14,0.7819398815693124,Low,0,Low,No,2015,Quarterly
3,Amazon,77.56061834633206,4.4753855300605405,0.8722636676011501,37.47953619096057,437,29,0.5931786064212349,Moderate,1,Low,No,1991,Monthly
4,Atlantic,30.883979621621478,2.1719175597744633,0.5813216389338862,60.26732412090173,118,2,0.3089055134597727,Low,2,High,Yes,2009,Quarterly
5,Atlantic,122.68183477792945,4.397966672585143,0.09286782781477398,29.958076304715497,476,5,0.8139843256552437,Strict,1,Medium,Yes,2008,Quarterly
6,Amazon,99.61202027812392,1.5714153437038905,0.9060351440202081,20.131278682468185,461,30,0.20174550419657689,Moderate,1,High,Yes,2014,Quarterly
7,Cerrado,55.28898340913026,4.893687739223019,0.7732146660111254,75.85619346394677,139,4,0.4302863407067852,Strict,0,Medium,No,1990,Quarterly
8,Amazon,48.60528060873899,2.56371940175969,0.532644826453798,86.76386394568071,481,3,0.27973990100511514,Strict,1,Low,No,2020,Quarterly
9,Cerrado,66.0367529304585,0.906643985696038,0.44676875311120245,65.97552355740402,54,24,0.49539082972182635,Moderate,1,High,Yes,1993,Yearly
10,Cerrado,24.750952188642184,2.177944553496748,0.705902014370345,38.28012503433078,404,10,0.3874138715153851,Strict,2,Low,No,1992,Monthly
11,Cerrado,122.34117551213818,3.4406615958753513,0.36215693319990605,51.56502180300123,481,42,0.17909794498268716,Low,2,Medium,No,2000,Monthly
12,Cerrado,45.40517549539407,4.450369498529417,0.6548503644238051,70.10363100076074,260,13,0.7418877790806463,Strict,1,Low,Yes,2008,Yearly
13,Cerrado,124.89576233839401,0.7227198565616458,0.1509064172413641,22.60400765174885,432,24,0.17662102510080258,Low,1,Low,No,1998,Monthly
14,Cerrado,111.03900209266394,2.836376942263779,0.14243159491149837,27.53796575797013,210,48,0.54564521848216,Moderate,0,High,No,2009,Monthly
15,Cerrado,141.56616244260766,2.7099726419795966,0.311060764802329,96.65566669526186,132,26,0.8045781949006705,Strict,1,Low,Yes,1998,Monthly
16,Pantanal,19.375499276323524,1.7090062840883409,0.8858081661621882,74.28259365985177,16,28,0.4832690158247023,Strict,2,Medium,Yes,2007,Monthly
17,Amazon,55.631374212322804,2.102043694979324,0.8503283810042204,75.75979679313393,38,40,0.8868593043778605,Low,1,Medium,No,2021,Monthly
18,Amazon,95.46320153552591,1.5925778709562566,0.49211090400683144,28.20027133550588,492,0,0.4288094855075174,Strict,2,Low,Yes,1993,Monthly
19,Cerrado,129.49361902602504,1.5817494733907154,0.5854755006443275,38.63591432554163,329,45,0.9707093259291866,Low,1,High,Yes,2019,Monthly
20,Amazon,27.5662329184338,2.713533675229015,0.6275977355223163,51.29174834356302,161,4,0.024903087274376068,Strict,0,Medium,No,2000,Quarterly
21,Pantanal,129.9027822422833,0.39425112762446946,0.3731928942041949,36.41877171885886,332,20,0.7910717742642875,Moderate,3,High,No,2008,Monthly
22,Amazon,14.711432097322415,2.458473795477591,0.7013250057443791,84.75681688241619,266,39,0.7078592241403336,Low,1,Medium,No,2007,Monthly
23,Pantanal,73.78174401885144,1.6890820015228534,0.6081476200864536,68.51555050753552,106,36,0.6110714906922246,Strict,0,Low,Yes,1994,Yearly
24,Pantanal,17.244414327789677,2.3754512963358287,0.35435873635572923,35.746474148640885,381,33,0.29610626219328495,Strict,0,Medium,No,2008,Quarterly
25,Cerrado,26.731182128081976,4.87742183523055,0.2838727515127216,81.67261865390341,439,1,0.6107143577611726,Low,0,High,No,2009,Monthly
26,Amazon,117.36342634696398,3.7321732223041137,0.9807571750398927,63.25760769765743,235,44,0.5945708685936004,Strict,1,Low,Yes,1991,Yearly
27,Amazon,7.701500353200561,4.321256330234009,0.2842947173424568,36.628112223635,308,17,0.14940251123721437,Strict,1,High,No,2008,Yearly
28,Pantanal,85.52776301041229,1.9202521190575335,0.174053047678554,87.42828129181058,403,14,0.879845002237026,Low,0,High,No,2000,Yearly
29,Cerrado,19.25377580668268,3.5585623925123966,0.8345987409690511,36.79714540901061,88,45,0.5346153765478711,Low,1,Medium,Yes,2002,Yearly
30,Cerrado,122.63291448106132,2.369431674621445,0.8108366325048446,75.25023880481493,84,32,0.08905536269655712,Moderate,1,High,No,2009,Monthly
31,Pantanal,122.18421391536975,3.0257944120602507,0.23875701085889922,51.99275672712729,497,10,0.39156789306016637,Moderate,1,Low,Yes,1991,Yearly
32,Atlantic,106.90458641165762,2.2460804297490307,0.8486942613960482,79.95686983704661,393,28,0.21651726135783567,Low,1,Low,Yes,1998,Yearly
33,Atlantic,114.6110656912791,0.7453750688923367,0.911661509483674,53.87690542727667,426,28,0.1686316343134796,Strict,0,High,Yes,1996,Monthly
34,Amazon,90.66266790524747,4.741986736328125,0.3317467255764318,42.929380252360986,454,7,0.94636778422548,Low,0,Low,No,1993,Yearly
35,Cerrado,75.39621510119612,3.5611853337103376,0.32856715204143727,96.88043377035521,489,0,0.6748312152720146,Strict,0,Low,Yes,1991,Yearly
36,Pantanal,64.4707848770889,3.042973595909639,0.13094655584918602,80.69778736765738,47,29,0.3015849543714696,Moderate,0,Low,Yes,2012,Quarterly
37,Atlantic,100.89091898835709,2.8478511658748653,0.6108242082100229,86.21187864777662,157,42,0.678351587682866,Low,1,Medium,Yes,1990,Monthly
38,Cerrado,60.50586593887967,3.642146097087196,0.693985332016835,45.0310974028616,361,9,0.8030403858488192,Low,0,Low,No,1994,Yearly
39,Atlantic,5.404851344723557,2.709484100135401,0.07338897450976711,47.83603293771431,465,5,0.31693174687098613,Moderate,1,Low,No,2021,Monthly
40,Pantanal,19.608683469344186,1.1579888494526396,0.2089043724356704,33.82442116860371,252,44,0.9848135974479875,Low,2,Low,Yes,2008,Quarterly
41,Cerrado,99.51323997931878,0.13582216390690877,0.2704181903953903,55.73960501771131,318,0,0.8814520727132349,Low,1,Low,Yes,2020,Quarterly
42,Cerrado,57.91359017969141,1.9771095268524332,0.4460616791048073,99.75718434165492,64,8,0.7971310041244846,Low,2,High,No,1993,Quarterly
43,Atlantic,148.48504361324103,2.8616978359264507,0.8236899099967472,67.15895376690375,26,49,0.715248265641634,Low,1,Low,Yes,1996,Monthly
44,Cerrado,56.31836151764863,1.9215911771111234,0.22423735560964897,77.9399867859957,439,42,0.03873946279506102,Moderate,1,Low,No,2021,Yearly
45,Cerrado,20.72153134536775,2.7132353866736425,0.8075880161142173,78.999430261362,109,15,0.02240374208772078,Strict,3,High,No,2022,Monthly
46,Pantanal,52.61535488400881,3.3578981966742467,0.8898385315009724,36.223654417864296,395,2,0.1648167543295379,Moderate,0,High,Yes,1995,Monthly
47,Atlantic,104.59312395177415,4.068307702714393,0.20053630990800209,24.482201849697756,107,41,0.9169274208124156,Moderate,2,Low,No,2004,Monthly
48,Cerrado,81.60003110573824,1.563349770931891,0.9928796351976527,29.727531720218696,148,1,0.2173318828279478,Low,0,Low,Yes,2017,Quarterly
49,Amazon,93.49286803043422,3.20258318308229,0.5167540595958834,77.57530311271509,87,7,0.7011353119336388,Moderate,1,Medium,Yes,2005,Monthly
50,Amazon,21.129366713925695,4.469704598282236,0.5518178090159964,56.46337431501757,475,29,0.979901473545035,Low,0,High,Yes,2010,Yearly
51,Amazon,124.91231538085857,0.8469121072242409,0.6160761285778855,92.37437241084143,275,17,0.9372751788201487,Low,1,Medium,Yes,2011,Yearly
52,Cerrado,135.84614137015777,3.4834247541006973,0.8028023948664978,49.32019556509519,288,2,0.4002960584437344,Strict,2,High,No,2022,Quarterly
53,Amazon,26.075748133215477,4.580835033230296,0.6532546515953094,28.213741955164274,353,5,0.6811049749848527,Moderate,1,Low,No,2014,Monthly
54,Cerrado,95.78981669040813,3.3895648861982486,0.734857608127822,97.47747041378072,53,44,0.7592979232865729,Moderate,0,High,Yes,2015,Yearly
55,Cerrado,38.315937404084075,0.553681745124907,0.43970759975165663,52.05648048217598,212,45,0.5495213834760384,Low,2,Low,No,2008,Quarterly
56,Pantanal,31.42962578038206,1.487360846389413,0.5899601294805491,87.85604129492002,256,12,0.5230297421755965,Low,1,Medium,Yes,2009,Monthly
57,Amazon,34.662367597956,1.0284532855754744,0.2470970877430939,23.683802579738867,370,14,0.22350152968443182,Strict,0,Medium,No,2019,Quarterly
58,Pantanal,80.59141269042514,4.570563360259022,0.36324201730558536,48.7477220675964,449,21,0.6759052396885638,Low,0,Medium,No,2009,Yearly
59,Atlantic,133.45552713811549,4.961030905139872,0.6315809370574522,67.55098655695755,421,18,0.2938040540110801,Strict,1,High,Yes,2011,Quarterly
60,Atlantic,123.69762846039666,2.2209156950460938,0.041010549903370164,61.92751511970407,292,49,0.30860558989822984,Low,1,High,Yes,2016,Quarterly
61,Cerrado,25.790595180747932,4.491359271004851,0.5786329809170816,78.21574242752945,185,43,0.2657062874422156,Low,1,Low,No,2021,Quarterly
62,Cerrado,78.93837337633155,0.7618517375620605,0.5507226662541481,90.64345690476348,465,7,0.06582602120552827,Low,0,Low,Yes,2011,Yearly
63,Pantanal,26.87827214065947,0.11684108918832586,0.18669732830663877,80.68800807875523,383,13,0.8436529337011506,Low,3,Low,Yes,1997,Monthly
64,Cerrado,68.51703152036606,2.8850012378799508,0.9334785765740526,44.80923831120581,46,22,0.8630639404894852,Moderate,0,Low,No,2001,Quarterly
65,Atlantic,86.56624924187311,4.938186512170367,0.08369112190694239,97.5470822035015,73,24,0.7237549112342626,Strict,1,High,No,2014,Yearly
66,Pantanal,122.67895811053782,2.855528987242801,0.0515235801316678,93.52550056199104,312,32,0.9277410416397055,Moderate,1,Low,Yes,2007,Quarterly
67,Amazon,129.8891089895801,4.904503113706372,0.8612273734200611,70.40290478878153,314,0,0.6313332520798706,Moderate,0,Medium,Yes,1990,Quarterly
68,Atlantic,9.016490587164405,2.3086651609116764,0.840304861094886,60.798241909914,331,0,0.6396300379168105,Strict,0,Low,No,2021,Yearly
69,Cerrado,104.93623220654398,1.9720019866303422,0.39624072784865716,61.31361337604888,54,16,0.8876787691106351,Low,0,Medium,Yes,1991,Quarterly
70,Cerrado,64.47306042822785,4.654935707496077,0.9753947375265535,78.81592671724492,67,17,0.20854234834265184,Low,1,Medium,Yes,2011,Monthly
71,Pantanal,76.7682999410132,0.33916342921998954,0.975466742041046,58.6739705071315,372,24,0.4354673929967099,Low,2,High,No,2005,Yearly
72,Cerrado,37.16722688782027,1.7012601175307365,0.12497834418760467,98.91697833224198,74,14,0.7041380878669135,Strict,3,Low,No,2017,Monthly
73,Atlantic,9.969099676930803,2.273138357485223,0.47947208026436705,76.83976073790183,391,26,0.2686567144512043,Moderate,1,Low,Yes,2005,Quarterly
74,Amazon,126.13158154748196,0.5259831757740436,0.05336728260566459,39.053804288959526,498,29,0.22862336459775456,Moderate,0,High,No,2022,Yearly
75,Amazon,38.44106356498023,2.633768106471691,0.35775726962677945,72.67823814288546,333,8,0.898271573810741,Moderate,1,Low,Yes,2014,Monthly
76,Amazon,132.64314113086067,1.938979977386016,0.07166871677739606,58.75487673667997,249,24,0.9960075981194132,Moderate,1,High,Yes,2001,Monthly
77,Cerrado,15.10679915634942,2.241196880938548,0.16078348946383525,32.788417296891545,121,33,0.3864083182851712,Strict,1,Medium,No,2005,Quarterly
78,Pantanal,64.22273017059172,3.4630172974741904,0.8926775331030751,61.5069192910973,268,39,0.23660435056150952,Moderate,0,High,Yes,2022,Quarterly
79,Amazon,112.6401433118055,0.4447232217453926,0.8443354940023856,88.71869176646888,99,39,0.4044594977474064,Strict,1,Low,Yes,2017,Quarterly
80,Amazon,42.22839691584486,4.812787598739965,0.8579330584482159,21.970520465036472,251,46,0.30385228417538324,Moderate,1,High,Yes,2005,Yearly
81,Cerrado,145.27494887165741,2.659934787145331,0.03265598117231405,88.09945887548014,336,10,0.821758881395797,Strict,5,High,Yes,2018,Quarterly
82,Pantanal,97.43696452457107,4.210173467061867,0.5691872905749229,74.81270776813444,351,14,0.9009627331098424,Moderate,4,Medium,No,2018,Quarterly
83,Pantanal,36.52188591161825,1.6606272963198647,0.7740794837587862,78.0529586359872,275,28,0.3909215299951837,Moderate,1,High,No,2013,Yearly
84,Amazon,120.07374018103457,1.6362403077971388,0.6916558666145495,91.41049562988,275,29,0.5995762861694197,Moderate,0,Low,Yes,2012,Yearly
85,Atlantic,147.76235333490888,4.528687943692301,0.5006043145338479,95.49749978832351,304,10,0.07876364562121752,Strict,0,Medium,No,2006,Monthly
86,Pantanal,41.11856280195095,0.6756347271270181,0.12174156049481255,43.61120321111517,74,0,0.4621885076850205,Strict,2,Medium,No,1993,Yearly
87,Amazon,124.26320815178163,0.6085127947446091,0.7739612298446391,93.53019293971917,378,16,0.0068377969940646155,Moderate,1,High,No,2012,Quarterly
88,Atlantic,146.70330685976225,3.51571516319719,0.8898914755217192,37.32322796801889,323,10,0.6710946758918697,Low,1,Low,No,2011,Monthly
89,Cerrado,37.005968233383854,2.3835340035178723,0.26838708860613003,31.550013623325803,253,28,0.1760207024104835,Strict,1,High,No,2016,Quarterly
90,Amazon,39.006790002309664,3.6148451704683886,0.5395950318581658,64.3873728032415,302,45,0.8780416350610766,Low,0,High,Yes,2019,Monthly
91,Cerrado,108.98145443108065,2.2212162781636717,0.4904127501763259,94.21253142581374,393,11,0.6300287648058939,Strict,1,High,Yes,2011,Yearly
92,Amazon,142.8455688294865,1.1375416766768047,0.7331576566233234,24.351013345660988,340,29,0.9281321914765218,Low,0,High,No,1995,Monthly
93,Cerrado,105.81495077031053,3.604703164780957,0.9260467077121297,62.241924986343655,299,43,0.9381670702221078,Moderate,0,Low,No,2016,Quarterly
94,Cerrado,78.16899491446917,0.291371225989918,0.4531089757594218,74.2806507965992,388,26,0.1691633446271107,Strict,0,Medium,Yes,2011,Yearly
95,Atlantic,20.258274132596377,2.295014141894181,0.46249342214438305,79.63387182969517,403,35,0.5131653883375621,Strict,2,High,Yes,2002,Yearly
96,Pantanal,139.03440456378328,2.3473933933184927,0.22608815598955723,60.31350347656713,87,14,0.1954606650512689,Low,0,Medium,Yes,2013,Quarterly
97,Atlantic,15.019614353837486,0.48184729481850364,0.17924344366389688,65.99244291340739,303,8,0.45313872645163367,Moderate,0,Low,No,2022,Quarterly
98,Amazon,35.67283499195504,1.2839944047233702,0.038591821526557046,56.29444564975436,326,30,0.4500942725318543,Strict,1,High,Yes,2019,Quarterly
99,Cerrado,70.35842110261957,1.3738599818216997,0.8175810333263456,77.86081066715953,459,24,0.7357499177064724,Moderate,1,Medium,No,2011,Quarterly
100,Amazon,77.59021625121476,4.475652949901877,0.4023801937857583,50.3393883933932,112,14,0.9761227562954988,Strict,0,Low,Yes,1996,Quarterly
101,Cerrado,13.00088484181546,2.6119361101671523,0.07323081788255448,42.43129340812058,83,33,0.6289683425945565,Low,1,Medium,No,1998,Yearly
102,Amazon,16.933224134654356,3.386742053135852,0.5511435581005537,41.02135529893783,489,15,0.8160338128404034,Moderate,1,Medium,No,2021,Yearly
103,Pantanal,23.143179872347897,0.36905543364241944,0.3353501886111513,72.270839284874,38,22,0.4036613409840235,Low,0,Low,No,2006,Monthly
104,Amazon,10.755950375605893,0.6070524952480868,0.9714692371501252,93.96703167476313,187,32,0.07282312120505452,Moderate,0,High,Yes,2011,Monthly
105,Amazon,146.72975469237457,2.860514036678923,0.4478013086822643,41.89153578094949,330,28,0.5146718865152562,Strict,1,Medium,Yes,2015,Quarterly
106,Amazon,39.502632351636294,4.192071343974123,0.10278653912874314,39.98668343616423,373,31,0.903933241878201,Strict,2,Medium,No,2021,Monthly
107,Atlantic,132.53058898176917,0.3596055668221577,0.6382445943674474,77.25296412648673,258,31,0.24025747060866653,Low,3,Low,No,2018,Monthly
108,Amazon,118.72875518999899,4.919018777317484,0.7934360070347508,20.731227562224916,263,15,0.26286074837219586,Moderate,1,High,No,1999,Quarterly
109,Atlantic,107.35331434085501,4.438667044371119,0.5813082635651563,86.73804825328105,269,14,0.10478467217233745,Low,2,High,Yes,2012,Monthly
110,Atlantic,100.3978141782781,4.378415797465819,0.7748224123179056,50.34256518999299,106,20,0.9968202209289327,Moderate,0,Medium,No,1994,Yearly
111,Atlantic,77.29966407879462,0.14250281272281348,0.2997118317481513,92.13432993347769,247,27,0.41473440888651547,Strict,0,High,Yes,2000,Yearly
112,Atlantic,86.75519620484863,2.09132267459441,0.5312711113400872,76.68486015133306,161,13,0.29887403194460227,Strict,1,Medium,No,2001,Yearly
113,Cerrado,134.145464028141,3.9992466062423495,0.8270247559350462,83.41854967649583,178,20,0.926772001569501,Strict,1,High,Yes,2009,Quarterly
114,Pantanal,117.74111787905059,3.817162293591306,0.07517355495372446,33.69598729368321,31,23,0.8112414178991173,Moderate,1,Medium,Yes,1999,Yearly
115,Cerrado,38.46998371665705,1.7936407021226433,0.2594345911561452,49.13449436649366,19,34,0.8769658922959357,Strict,1,Low,Yes,2015,Yearly
