Household_ID,Region,Income_Level,Household_Size,Food_Spend_%,Food_Shortage_Days,Child_Malnutrition,Access_Markets,Govt_Assistance,Employment_Status,Water_Access,Crop_Dependence,Seasonal_Food_Security,Food_Diversity_Score,Education_Level
1,East,High,5,63.27419525073448,4,Yes,Yes,No,Unemployed,Yes,High,Yes,8.350533812595799,Primary
2,North,High,1,49.91011299840697,5,No,No,Yes,Unemployed,Yes,High,Yes,2.450851975247441,Secondary
3,North,Low,1,73.04483567703272,6,Yes,Yes,Yes,Employed,Yes,Medium,No,8.505826447801342,None
4,West,Medium,1,35.018249285383554,8,Yes,Yes,Yes,Unemployed,No,Low,No,4.110919241961123,Tertiary
5,South,Medium,6,50.44760123672302,2,Yes,No,Yes,Unemployed,No,High,Yes,3.049913504329054,Primary
6,East,Low,4,30.761865838170756,5,No,Yes,No,Employed,No,Low,No,8.038642100817423,Tertiary
7,South,High,6,84.75791441973053,4,Yes,No,Yes,Unemployed,Yes,Medium,Yes,8.712982491992758,Primary
8,West,Medium,6,51.75485342328825,2,Yes,Yes,Yes,Unemployed,Yes,High,No,9.644041452646329,Tertiary
9,West,High,6,23.876999705435445,6,Yes,Yes,Yes,Unemployed,No,Medium,No,4.781972620463925,Tertiary
10,North,High,6,31.82125273680232,7,Yes,No,No,Employed,No,Low,Yes,6.059002490920423,Secondary
11,North,Medium,7,16.632157129924813,6,No,No,No,Employed,Yes,High,Yes,6.534254766729858,Tertiary
12,East,High,1,12.225279647818672,9,No,No,No,Employed,Yes,Low,No,6.64933689393609,Primary
13,West,High,4,52.073746085653674,4,Yes,No,Yes,Unemployed,No,Low,Yes,4.619404621703349,Tertiary
14,West,Low,4,36.96983380204842,5,No,Yes,Yes,Unemployed,No,High,Yes,2.371152428321042,Secondary
15,East,Medium,2,87.10187642082451,3,Yes,Yes,No,Unemployed,Yes,Medium,Yes,1.634012791363748,Tertiary
16,South,High,1,23.706511708918736,0,No,No,Yes,Employed,Yes,High,No,9.153895485844133,Secondary
17,North,Medium,5,73.51301221895562,8,Yes,Yes,No,Unemployed,Yes,Low,No,4.29895929847313,Secondary
18,West,Medium,6,35.27771537543222,5,No,No,No,Employed,Yes,Low,Yes,2.626186000213441,Primary
19,West,High,4,27.88299088469642,7,Yes,Yes,No,Employed,No,Low,No,9.85214812023781,Tertiary
20,South,Medium,2,87.57094552010459,7,Yes,No,Yes,Employed,No,High,Yes,8.226170947825251,Primary
21,South,Low,4,74.20612789966125,5,Yes,Yes,No,Unemployed,Yes,Low,Yes,9.830645986779375,Secondary
22,South,Low,5,60.44967131562653,2,No,Yes,Yes,Employed,Yes,High,Yes,3.5092508297863554,Primary
23,North,High,5,65.76968297790017,6,No,Yes,Yes,Unemployed,No,High,Yes,5.169229914433932,Primary
24,East,Medium,1,89.31051798804718,3,Yes,No,Yes,Unemployed,No,Low,Yes,8.278236778723,Secondary
25,West,High,7,57.45659270599094,9,Yes,Yes,No,Unemployed,Yes,Low,No,5.9670181159643505,Secondary
26,North,Medium,4,18.152036064556807,2,Yes,No,Yes,Unemployed,No,Low,No,4.194671150547254,Primary
27,South,High,7,15.18929013611051,3,No,Yes,Yes,Unemployed,No,Medium,No,2.425839348054514,Tertiary
28,West,High,5,63.328542197909876,11,Yes,Yes,No,Unemployed,No,Medium,No,6.055886870689432,Secondary
29,West,Medium,3,62.60809151401186,6,No,Yes,Yes,Unemployed,No,Medium,Yes,6.385486149918745,Secondary
30,North,Low,5,69.85390343824709,1,No,Yes,No,Employed,No,Low,No,7.486730979456642,Tertiary
31,South,High,5,18.7022984186091,8,Yes,No,No,Employed,Yes,Low,Yes,8.11473160801733,None
32,South,Low,4,85.59218198041374,8,Yes,No,Yes,Employed,Yes,Medium,Yes,2.062978194959949,Secondary
33,East,Medium,6,54.092673112851585,8,Yes,Yes,Yes,Unemployed,Yes,High,Yes,6.65157803027508,None
34,South,High,5,61.96444168169723,3,No,No,Yes,Employed,No,Medium,No,8.032971315594722,Tertiary
35,North,Medium,2,12.788190670250419,8,Yes,No,Yes,Employed,Yes,Medium,No,4.501051503827582,Tertiary
36,East,Low,6,86.87793716124591,7,Yes,Yes,No,Employed,Yes,High,Yes,3.48010548178196,Tertiary
37,East,Medium,5,55.00734789951589,4,No,Yes,No,Unemployed,No,Medium,No,5.316899270553136,Tertiary
38,East,High,3,55.06904903957029,6,No,Yes,No,Employed,Yes,Medium,No,3.7907794170638063,Primary
